level,rep,group,diet_no,ratio,yeast,sugar,CFU_AP,CFU_LB,Fecundity,Weight,Protein,Glucose,TAG,Average_counts_L,Average_counts_D,sleep_time_L,sleep_time_D
180,5,AX,13,00:01,0,180,0,0,9,1.2252,0.641614457,0.015582883,0.217,80.41237113,13.4375,52.6375,149.4619048
180,5,CV,13,00:01,0,180,6400,10000,3.5,1.1402,0.368773303,0.016402836,0.206617398,86.54639175,33.90625,40.63095238,62.04637681
180,5,LB,13,00:01,0,180,0,34304,7,1.222,0.378,0.017326323,0.141535932,113.8762887,40.47916667,67.31666667,78.09259259
180,6,AP,13,00:01,0,180,,,,,,,,,,,
180,6,AP+LB,13,00:01,0,180,,,,,,,,,,,
180,6,AX,13,00:01,0,180,0,0,,,,,,,,,
180,6,CV,13,00:01,0,180,,,,1.3724,0.411845957,0.027349642,0.168726293,,,,
180,6,LB,13,00:01,0,180,,,,,,,,,,,
180,7,AP,13,00:01,0,180,,,,,,,,,,,
180,7,AP+LB,13,00:01,0,180,,,,,,,,,,,
180,7,AX,13,00:01,0,180,0,0,,,,,,,,,
180,7,CV,13,00:01,0,180,,,,1.2214,0.462761905,0.018449184,0.12018906,,,,
180,7,LB,13,00:01,0,180,,,,,,,,,,,
180,8,AP,13,00:01,0,180,,,,,,,,,,,
180,8,AP+LB,13,00:01,0,180,,,,,,,,,,,
180,8,AX,13,00:01,0,180,0,0,,,,,,,,,
180,8,CV,13,00:01,0,180,,,,1.4296,0.79685667,0.030062188,0.129271651,,,,
180,8,LB,13,00:01,0,180,,,,,,,,,,,
180,9,AP,13,00:01,0,180,,,,,,,,,,,
180,9,AP+LB,13,00:01,0,180,,,,,,,,,,,
180,9,AX,13,00:01,0,180,0,0,,,,,,,,,
180,9,CV,13,00:01,0,180,,,,1.4534,0.636475529,0.022742461,0.12898874,,,,
180,9,LB,13,00:01,0,180,,,,,,,,,,,
360,1,AP,19,00:01,0,360,500,0,0,1.2555,0.578368044,0.031155977,0.098875294,138.814433,51.25,0,70.81754386
360,1,AP+LB,19,00:01,0,360,3100,100,0,1.135,0.923916677,0.026223885,0.213785656,172.8762887,84.16666667,0,89.76944444
360,1,AX,19,00:01,0,360,0,0,0,1.1494,0.543380375,0.038105489,0.205914871,71.19587629,52.89583333,0,88.43055556
360,1,CV,19,00:01,0,360,800,700,0,1.037583333,0.635755319,0.023222816,0.176553526,,,,
360,1,LB,19,00:01,0,360,0,900,0,1.1743,0.017667451,0.025943122,0.130462378,95.01030928,36.95833333,0,116.1194444
